x1,x2,t
26,47,1
7,3,0
41,13,1
46,42,1
20,25,1
5,31,0
3,35,0
31,6,0
29,50,1
40,22,1
30,41,1
4,36,0
47,35,1
43,3,0
17,20,1
41,23,1
31,44,1
22,19,1
44,4,0
35,41,1
33,41,1
16,47,1
18,19,1
45,9,1
34,46,1
17,46,1
43,25,1
32,2,0
44,34,1
18,45,1
9,0,0
14,31,1
38,40,1
45,35,1
36,8,0
34,8,0
37,13,1
11,22,1
50,39,1
14,1,0
12,17,1
36,22,1
1,28,0
39,11,1
14,43,1
48,17,1
27,1,0
30,14,1
0,45,0
22,48,1
20,32,1
3,40,0
47,40,1
30,16,1
28,32,1
2,47,0
8,38,0
32,35,1
19,13,1
5,34,0
29,37,1
18,10,0
33,34,1
16,38,1
6,41,0
47,22,1
21,15,1
17,39,1
7,44,1
32,25,1
9,9,0
38,35,1
45,28,1
35,26,1
9,19,0
48,50,1
25,16,1
13,13,1
2,18,0
38,31,1
3,11,0
27,6,0
15,43,1
39,30,1
4,12,0
19,44,1
26,49,1
5,1,0
29,4,0
3,17,0
20,47,1
1,33,0
23,50,1
6,14,0
30,27,1
40,4,0
19,18,1
2,38,0
8,45,1
17,6,0
46,30,1
42,6,0
16,29,1
23,40,1
46,0,0
11,46,1
18,31,1
33,29,1
47,5,1
40,48,1
45,21,1
43,45,1
8,25,0
34,26,1
39,35,1
35,3,0
44,46,1
48,41,1
10,19,0
15,10,0
13,6,0
24,2,0
48,15,1
12,29,1
27,31,1
28,24,1
50,13,1
3,22,0
25,37,1
6,1,0
4,17,0
7,4,0
31,27,1
5,20,0
20,28,1
32,49,1
27,43,1
42,1,0
23,33,1
40,17,1
30,36,1
46,33,1
19,1,0
28,44,1
31,33,1
22,30,1
44,15,1
35,34,1
42,43,1
23,31,1
43,34,1
17,43,1
34,21,1
13,37,1
32,13,1
35,8,0
10,26,0
11,19,1
26,25,1
50,42,1
24,9,0
38,9,0
12,20,1
1,25,0
13,25,1
28,23,1
50,4,1
24,47,1
14,38,1
49,25,1
30,5,0
4,24,0
28,13,1
15,39,1
19,32,1
0,40,0
31,0,0
20,27,1
27,32,1
6,18,0
40,24,1
30,47,1
19,6,0
4,38,0
8,33,0
7,27,0
5,39,0
44,6,0
18,17,1
33,47,1
47,11,1
21,4,0
45,7,1
43,27,1
17,44,1
22,11,1
37,33,1
18,43,1
38,46,1
36,10,0
43,49,1
37,11,1
35,23,1
12,19,1
15,6,0
39,5,0
2,25,0
26,10,0
48,19,1
27,3,0
19,41,1
31,9,0
29,9,0
3,42,0
1,46,0
16,2,0
40,31,1
6,21,0
30,22,1
28,34,1
32,37,1
46,21,1
9,37,0
23,45,1
6,47,1
21,13,1
36,43,1
45,0,0
34,39,1
8,14,0
32,27,1
16,24,1
43,16,1
9,15,0
33,26,1
18,34,1
42,39,1
23,11,1
36,49,1
45,26,1
8,20,0
39,36,1
13,49,1
11,1,0
44,49,1
14,14,1
36,31,1
10,22,0
25,22,1
49,49,1
39,2,0
15,15,1
37,30,1
26,21,1
39,24,1
28,3,0
50,16,1
5,15,0
25,34,1
40,6,0
21,44,1
4,20,0
2,36,0
8,47,1
7,9,0
22,35,1
23,42,1
16,31,1
40,44,1
4,50,1
10,45,1
21,22,1
17,30,1
41,41,1
22,5,0
32,18,1
11,32,1
9,48,1
42,46,1
12,43,1
34,24,1
43,47,1
17,48,1
35,5,0
9,26,0
24,30,1
14,17,1
38,50,1
44,40,1
10,17,0
25,31,1
26,28,1
0,7,0
50,49,1
48,1,0
27,17,1
1,6,0
25,1,0
39,17,1
13,30,1
28,26,1
24,42,1
5,8,0
25,43,1
40,13,1
6,7,0
7,6,0
31,5,0
33,50,1
23,35,1
6,25,0
21,31,1
30,42,1
42,15,1
32,41,1
7,28,0
46,9,1
44,9,1
35,36,1
18,20,1
12,34,1
36,39,1
8,2,0
13,35,1
35,10,0
9,3,0
33,14,1
14,24,1
34,13,1
39,48,1
11,21,1
50,40,1
14,2,0
38,15,1
12,22,1
1,31,0
25,10,0
49,5,1
39,14,1
13,23,1
2,28,0
26,1,0
14,36,1
3,1,0
49,31,1
30,11,1
19,34,1
28,15,1
26,43,1
0,42,0
31,2,0
20,37,1
29,14,1
27,34,1
1,43,0
16,13,1
40,26,1
28,37,1
43,7,0
8,35,0
34,48,1
31,40,1
46,16,1
20,3,0
29,40,1
18,15,1
9,34,0
42,16,1
6,42,0
21,2,0
47,21,1
45,5,0
44,0,0
8,9,0
17,34,1
44,30,1
18,41,1
33,7,0
9,4,0
38,44,1
45,31,1
34,4,0
15,26,1
39,41,1
11,10,0
14,5,0
1,16,0
25,19,1
13,16,1
2,23,0
15,46,1
39,29,1
4,1,0
19,43,1
28,6,0
0,33,0
50,23,1
31,11,1
29,7,0
1,44,0
40,1,0
6,11,0
8,42,0
17,1,0
22,46,1
5,46,1
31,17,1
20,10,0
18,6,0
9,43,1
23,47,1
40,39,1
43,18,1
8,48,1
41,38,1
7,40,0
32,29,1
12,46,1
43,40,1
8,22,0
39,38,1
14,12,1
45,50,1
25,20,1
11,25,1
26,19,1
0,2,0
48,12,1
38,19,1
49,9,1
39,26,1
50,14,1
5,13,0
29,0,0
27,48,1
1,37,0
21,42,1
30,31,1
19,22,1
41,5,0
31,30,1
7,11,0
20,17,1
18,1,0
9,44,1
23,36,1
40,46,1
21,20,1
41,47,1
46,4,0
11,34,1
35,33,1
18,27,1
33,17,1
34,22,1
41,49,1
44,42,1
35,7,0
33,11,1
12,3,0
45,43,1
10,31,0
49,40,1
37,5,0
11,30,1
24,6,0
38,10,0
27,19,1
1,4,0
25,7,0
49,2,1
28,20,1
14,35,1
20,50,1
3,26,0
27,9,0
40,15,1
7,0,0
31,7,0
20,24,1
42,13,1
16,8,0
30,40,1
43,0,0
41,16,1
29,45,1
44,11,1
35,38,1
23,27,1
6,49,1
21,7,0
17,47,1
13,33,1
37,36,1
11,49,1
44,33,1
9,1,0
14,30,1
48,36,1
15,31,1
39,50,1
35,18,1
14,0,0
1,29,0
50,0,0
14,42,1
29,18,1
4,4,0
28,9,0
5,25,0
20,39,1
3,41,0
27,36,1
16,15,1
30,19,1
19,10,0
28,39,1
41,25,1
22,21,1
5,35,0
20,13,1
29,38,1
46,22,1
42,30,1
23,16,1
47,23,1
16,37,1
10,39,0
43,31,1
7,45,1
31,48,1
37,45,1
32,24,1
18,39,1
23,14,1
38,34,1
10,1,0
8,17,0
24,20,1
48,49,1
12,15,1
